Gender,Name,Category,Concept,profile_image
Boy,Jihoon,Cool & Chic,"카리스마 리더, 무대에서 시크",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_016.png
Boy,Kai,Cool & Chic,"도시적 비주얼, 말수 적음",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_017.png
Boy,Seungho,Cool & Chic,"도도한 표정, 도시 미인",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_018.png
Boy,Hyun,Cool & Chic,"차분한 매력, 무대 위 카리스마",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_019.png
Boy,Minsu,Cool & Chic,시크+은근한 다정함,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_020.png
Boy,Eunseok,Cool & Chic,"강렬한 눈빛, 도도한 분위기",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_021.png
Boy,Hanbin,Cool & Chic,"도시적 보컬, 쿨톤 비주얼",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_022.png
Boy,Rowoon,Cool & Chic,무대 위 카리스마 댄서,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_023.png
Boy,Sihyun,Cool & Chic,차갑지만 섹시한 이미지,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_024.png
Boy,Doha,Cool & Chic,"훈훈한 비주얼, 시크한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_025.png
Boy,Taiki,Cool & Chic,일본풍 시크한 매력,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_026.png
Boy,Jinwoo,Cool & Chic,"차갑고 세련된 느낌, 카리스마 보컬",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_027.png
Boy,Suri,Cool & Chic,"고양이상 비주얼, 도도한 태도",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_028.png
Boy,Noah,Cool & Chic,"시크한 남자 아이돌, 미니멀 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_029.png
Boy,Eunwoo,Cool & Chic,섬세하고 도도한 비주얼 담당,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_030.png
Boy,Jinwoo,Energetic Performer,"춤추는 에너지, 메인 댄서",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_031.png
Boy,Haon,Energetic Performer,무대 위 파워풀한 래퍼,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_032.png
Boy,Seulgi,Energetic Performer,"카리스마 댄서, 퍼포먼스 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_033.png
Boy,Taemin,Energetic Performer,부드럽지만 폭발적인 댄스,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_034.png
Boy,Yuri,Energetic Performer,"스포티한 비주얼, 춤과 노래 다재다능",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_035.png
Boy,Doyeon,Energetic Performer,"무대 체력 괴물, 파워풀 보컬",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_036.png
Boy,Eunha,Energetic Performer,작지만 강렬한 퍼포머,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_037.png
Boy,Kangmin,Energetic Performer,"에너제틱 댄서, 무대 장악력",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_038.png
Boy,Mino,Energetic Performer,"카리스마 래퍼, 무대 분위기 압도",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_039.png
Boy,Yebin,Energetic Performer,"발랄한 댄서, 긍정적 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_040.png
Boy,Sion,Energetic Performer,무대 집중력 강한 보컬,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_041.png
Boy,Harin,Energetic Performer,"파워풀 보컬+댄스, 팀 에너지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_042.png
Boy,Sowon,Energetic Performer,무대 카리스마 넘치는 리더,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_043.png
Boy,Jaeho,Energetic Performer,"퍼포먼스 장인, 팬심 자극",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_044.png
Boy,Gaeul,Energetic Performer,"팀의 활기, 무대 소화력 최고",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_045.png
Boy,Hajin,Emotional / Artistic,"감성적 보컬, 가사 해석력",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_046.png
Boy,Jihye,Emotional / Artistic,"아티스틱 감성, 예술적 매력",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_047.png
Boy,Eunbyul,Emotional / Artistic,별빛 같은 감성 비주얼,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_048.png
Boy,Harin,Emotional / Artistic,"예술적 무드, 부드러운 보컬",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_049.png
Boy,Serin,Emotional / Artistic,"잔잔한 매력, 서정적 목소리",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_050.png
Boy,Arin,Emotional / Artistic,"맑고 순수한 음색, 감성적",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_051.png
Boy,Yunseo,Emotional / Artistic,"아티스트 분위기, 깊은 눈빛",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_052.png
Boy,Hyeseong,Emotional / Artistic,"예술적 카리스마, 팬픽 소재감",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_053.png
Boy,Mira,Emotional / Artistic,"감성 래퍼, 서정적인 가사",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_054.png
Boy,Eunji,Emotional / Artistic,차분하고 예술적 분위기,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_055.png
Boy,Sowon,Emotional / Artistic,"따뜻한 보컬, 발라드형 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_056.png
Boy,Juri,Emotional / Artistic,"예술학교 출신 느낌, 클래식 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_057.png
Boy,Seoyun,Emotional / Artistic,"감성 보컬리스트, 섬세한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_058.png
Boy,Youngjae,Emotional / Artistic,작곡·편곡도 하는 아티스트형 아이돌,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_059.png
Boy,Hyojin,Emotional / Artistic,"감성 보컬, 진정성 있는 무대",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_060.png
Boy,Raven,Mysterious / Unique,"신비로운 눈빛, 다크 컨셉",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_061.png
Boy,Miyu,Mysterious / Unique,"수수께끼 같은 분위기, 차분함",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_062.png
Boy,Jade,Mysterious / Unique,"중성적 매력, 신비로운 무대",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_063.png
Boy,Hyuna,Mysterious / Unique,관능적이면서 신비한 카리스마,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_064.png
Boy,Elin,Mysterious / Unique,"몽환적인 비주얼, 드림팝 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_065.png
Boy,Yuri,Mysterious / Unique,"깊은 눈빛, 무대 장악력",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_066.png
Boy,Shion,Mysterious / Unique,"비밀스러운 분위기, 스토리텔링 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_067.png
Boy,Hyunwoo,Mysterious / Unique,"요정 같은 분위기, 신비로운 보컬",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_068.png
Boy,Sera,Mysterious / Unique,독특한 컨셉 소화력,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_069.png
Boy,Aiden,Mysterious / Unique,다크하면서 매력적인 래퍼,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_070.png
Boy,Noir,Mysterious / Unique,"블랙 카리스마, 다크 무드 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_071.png
Boy,Eve,Mysterious / Unique,"독창적 퍼포머, 신비로움 강조",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_072.png
Boy,Orin,Mysterious / Unique,"초현실적 비주얼, 몽환 캐릭터",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_073.png
Boy,Juno,Mysterious / Unique,"비밀스러운 매력, 콘셉트 아이돌",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_074.png
Boy,Luan,Mysterious / Unique,"독특한 이미지, 무대 장인",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_075.png
Boy,Hojun,Funny / Friendly,"팀의 개그맨, 유머러스",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_076.png
Boy,Sujin,Funny / Friendly,"장난기 많은 성격, 팬서비스 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_077.png
Boy,Minkyu,Funny / Friendly,"예능감 충만, 분위기 메이커",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_078.png
Boy,Hyerin,Funny / Friendly,팬들과 소통 좋아하는 프렌들리 아이돌,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_079.png
Boy,Junha,Funny / Friendly,비글미 넘치는 보컬,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_080.png
Boy,Sejin,Funny / Friendly,"장난꾸러기 성격, 막내 포지션",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_081.png
Boy,Jiwon,Funny / Friendly,유머러스하면서 센스 있는 MC 담당,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_082.png
Boy,Yura,Funny / Friendly,"팬들과 소통왕, 웃음 제조기",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_083.png
Boy,Taeyoon,Funny / Friendly,예능감 넘치는 래퍼,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_084.png
Boy,Hanae,Funny / Friendly,밝고 장난스러운 무드 메이커,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_085.png
Boy,Sohee,Caring / Team-Player,언니미 넘치는 케어러,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_086.png
Boy,Jihwan,Caring / Team-Player,멤버들 잘 챙기는 팀 플레이어,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_087.png
Boy,Yujin,Caring / Team-Player,"따뜻한 성격, 팬과 멤버 모두 케어",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_088.png
Boy,Haewon,Caring / Team-Player,온화하고 차분한 리더십,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_089.png
Boy,Dahyun,Caring / Team-Player,"밝고 긍정적, 팀 내 중재자",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_090.png
Boy,Giyoon,Caring / Team-Player,부드럽고 상냥한 성격,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_091.png
Boy,Seoyeon,Caring / Team-Player,다른 멤버들 서포트 잘 하는 조력자,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_092.png
Boy,Hyunwoo,Caring / Team-Player,듬직한 오빠 같은 멤버,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_093.png
Boy,Jaxon,Rebel / Edgy,"반항아 느낌, edgy한 퍼포먼스",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_094.png
Boy,Vivi,Rebel / Edgy,"강렬한 메이크업, 컨셉 소화력",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_095.png
Boy,Zion,Rebel / Edgy,"파워풀 래퍼, rebellious vibe",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_096.png
Boy,Lara,Rebel / Edgy,"걸크러시, 강한 여성상",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_097.png
Boy,Roki,Rebel / Edgy,"락스타 감성, edgy한 무대",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_098.png
Boy,Hanbin,Rebel / Edgy,독특한 헤어컬러+펑크 스타일,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_099.png
Boy,Ace,Rebel / Edgy,"강렬한 카리스마, edgy 리더",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_100.png
Boy,Nova,Rebel / Edgy,미래지향적이고 반항적인 캐릭터,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_101.png
